team_id,team_name,goals,shots,shots_on_target,xg,passes,passes_completed,pass_completion_pct,possession_pct
771,France,16,102,35,11.82,3926,3291,83.8,51.1
779,Argentina,15,101,48,13.94,4615,3939,85.4,57.5
768,England,13,63,28,8.74,3238,2800,86.5,63.3
780,Portugal,12,66,26,7.31,3129,2655,84.9,60.8
941,Netherlands,10,43,16,4.99,3005,2501,83.2,53.3
772,Spain,9,48,17,4.75,3914,3540,90.4,76.0
781,Brazil,8,95,43,10.5,3196,2776,86.9,55.3
785,Croatia,8,79,26,6.9,4511,3796,84.1,54.2
770,Germany,6,68,24,8.23,1963,1683,85.7,59.6
788,Morocco,6,62,17,5.54,2865,2292,80.0,38.0
773,Switzerland,5,37,13,6.09,2035,1673,82.2,48.8
787,Senegal,5,50,12,4.27,1696,1342,79.1,45.5
778,Japan,5,44,14,4.25,1748,1355,77.5,35.4
791,South Korea,5,48,18,3.6,2011,1635,81.3,48.1
4885,Ghana,5,25,10,3.35,1248,986,79.0,41.8
786,Serbia,5,32,9,3.09,1503,1186,78.9,50.8
797,Iran,4,33,10,3.83,1125,792,70.4,36.9
3565,Ecuador,4,30,11,3.81,1447,1153,79.7,52.1
2722,Cameroon,4,28,16,3.07,1261,970,76.9,42.9
789,Poland,3,31,7,4.66,1524,1191,78.1,36.7
1839,United States,3,46,13,3.94,2201,1822,82.8,52.7
799,Saudi Arabia,3,30,9,3.2,1190,880,73.9,44.7
792,Australia,3,26,8,1.58,1707,1271,74.5,38.3
783,Uruguay,2,33,10,3.27,1477,1163,78.7,48.3
794,Mexico,2,41,15,3.06,1435,1108,77.2,53.4
795,Costa Rica,2,11,6,1.23,1094,830,75.9,30.7
1833,Canada,1,35,5,3.93,1571,1318,83.9,52.3
782,Belgium,1,35,10,3.69,1867,1598,85.6,56.5
776,Denmark,1,35,11,3.19,1928,1613,83.7,59.6
777,Tunisia,1,32,8,2.41,1326,996,75.1,43.7
907,Wales,1,24,7,2.22,1353,1051,77.7,45.8
3566,Qatar,1,20,6,1.41,1406,1140,81.1,42.6
